phase,A1_actionId,C_actionId,n_context,B1_playerId,EV,count,train_winrate,usage_rate
late,6,2,3,17,0.49791132412985845,2,0.5,0.6666666666666666
late,6,13,3,17,0.21280104500259986,1,0.0,0.3333333333333333
late,7,2,1,17,0.6172822388999711,1,1.0,1.0
late,10,13,1,17,0.32023623866703205,1,0.0,1.0
late,13,13,1,17,0.24613999520949978,1,0.0,1.0
late,1,1,7,18,0.6985619581269219,1,0.0,0.14285714285714285
late,1,2,7,18,0.6737601542481285,6,1.0,0.8571428571428571
late,2,1,5,18,0.6561837268326899,2,0.5,0.4
late,2,2,5,18,0.623109802064669,3,0.6666666666666666,0.6
late,7,13,1,18,0.576633496076279,1,1.0,1.0
late,10,13,1,18,0.5456041553375258,1,0.0,1.0
late,13,2,2,18,0.6154377320103276,2,1.0,1.0
late,1,1,24,19,0.5315511533590365,9,0.7777777777777778,0.375
late,1,2,24,19,0.5081185500987095,4,0.5,0.16666666666666666
late,1,3,24,19,0.522385896089154,2,0.5,0.08333333333333333
late,1,5,24,19,0.49588309068346725,1,0.0,0.041666666666666664
late,1,6,24,19,0.49462177453359435,2,0.0,0.08333333333333333
late,1,10,24,19,0.4338118493866219,1,1.0,0.041666666666666664
late,1,13,24,19,0.24502866179559005,4,0.25,0.16666666666666666
late,1,14,24,19,0.2144907302843001,1,0.0,0.041666666666666664
late,2,1,13,19,0.48907041702184995,4,0.25,0.3076923076923077
late,2,2,13,19,0.466699242119685,5,0.0,0.38461538461538464
late,2,3,13,19,0.4925525800416955,1,1.0,0.07692307692307693
late,2,10,13,19,0.3709404231150487,1,1.0,0.07692307692307693
late,2,13,13,19,0.20961477126203845,2,0.5,0.15384615384615385
late,3,2,3,19,0.5244297145614621,1,0.0,0.3333333333333333
late,3,3,3,19,0.5603879379814296,1,1.0,0.3333333333333333
late,3,6,3,19,0.46301892646413995,1,1.0,0.3333333333333333
late,4,1,13,19,0.6567233886677047,1,0.0,0.07692307692307693
late,4,2,13,19,0.6308347896466393,5,0.6,0.38461538461538464
late,4,6,13,19,0.6044485838446371,3,0.6666666666666666,0.23076923076923078
late,4,13,13,19,0.3432551411222167,4,0.25,0.3076923076923077
late,5,2,1,19,0.4576472504453959,1,1.0,1.0
late,6,1,15,19,0.5298009565748404,2,1.0,0.13333333333333333
late,6,2,15,19,0.5025265107267638,3,0.0,0.2
late,6,3,15,19,0.5143476115975862,1,1.0,0.06666666666666667
late,6,5,15,19,0.4597841206291276,1,0.0,0.06666666666666667
late,6,6,15,19,0.4597841206291276,3,0.3333333333333333,0.2
late,6,13,15,19,0.19961952582136291,5,0.2,0.3333333333333333
